library-id,specimen_id,sample_id,Phenotype,Aligned,Dedup,Coverage,Pheno,Path,NewPheno,NewPhenotype,Group,library_id
616670,SFLc0403,614665,SFF,191398830,155479462,33.0894,1,/home/maccamp/barra-lh/data/bams/616670.sort.flt.bam,1,SFF,Burdekin,NA
616671,SFLc0406,614666,SSS,168424484,136542682,28.888,0,/home/maccamp/barra-lh/data/bams/616671.sort.flt.bam,0,SSS,Burdekin,NA
616672,SFLc0423,614667,SSS,164739004,130650421,27.9127,0,/home/maccamp/barra-lh/data/bams/616672.sort.flt.bam,0,SSS,Burdekin,NA
616673,SFLc0427,614668,SSS,151791417,120510330,25.6563,0,/home/maccamp/barra-lh/data/bams/616673.sort.flt.bam,1,SFF,Burdekin,NA
616674,SFLc0428,614669,SFF,189723372,151466984,32.2966,1,/home/maccamp/barra-lh/data/bams/616674.sort.flt.bam,1,SFF,Burdekin,NA
616675,SFLc0431,614670,SFF,149547377,124207743,26.4591,1,/home/maccamp/barra-lh/data/bams/616675.sort.flt.bam,1,SFF,Burdekin,NA
616676,SFLc0435,614671,SFF,175118402,143920804,30.5561,1,/home/maccamp/barra-lh/data/bams/616676.sort.flt.bam,1,SFF,Burdekin,NA
616677,SFLc0444,614672,SSS,144770327,116648866,24.6767,0,/home/maccamp/barra-lh/data/bams/616677.sort.flt.bam,0,SSS,Burdekin,NA
616678,SFLc0468,614673,SFF,239571616,197401929,41.6334,1,/home/maccamp/barra-lh/data/bams/616678.sort.flt.bam,1,SFF,Burdekin,NA
616679,SFLc0496,614674,SSS,164036190,132669582,28.1303,0,/home/maccamp/barra-lh/data/bams/616679.sort.flt.bam,0,SSS,Burdekin,NA
616680,SFLc0508,614675,SSS,164033539,134294824,28.7973,0,/home/maccamp/barra-lh/data/bams/616680.sort.flt.bam,0,SSS,Burdekin,NA
616681,SFLc0511,614676,SFF,182702038,146795355,31.2473,1,/home/maccamp/barra-lh/data/bams/616681.sort.flt.bam,1,SFF,Burdekin,NA
616682,SFLc0581,614677,SFF,182486102,147975435,31.473,1,/home/maccamp/barra-lh/data/bams/616682.sort.flt.bam,1,SFF,Burdekin,NA
616683,SFLc0586,614678,SSS,183457795,156006746,30.6011,0,/home/maccamp/barra-lh/data/bams/616683.sort.flt.bam,0,SSS,Burdekin,NA
616684,SFLc0589,614679,SSS,197726999,112035847,23.4213,0,/home/maccamp/barra-lh/data/bams/616684.sort.flt.bam,0,SSS,Burdekin,NA
616686,SFLc0604,614681,SSS,153106114,125993265,26.9171,0,/home/maccamp/barra-lh/data/bams/616686.sort.flt.bam,0,SSS,Burdekin,NA
616687,SFLc0614,614682,SSS,198395932,157812855,33.5419,0,/home/maccamp/barra-lh/data/bams/616687.sort.flt.bam,0,SSS,Burdekin,NA
616688,SFLc0619,614683,SFF,176311779,140149566,30.0231,1,/home/maccamp/barra-lh/data/bams/616688.sort.flt.bam,1,SFF,Burdekin,NA
616690,SFLc0631,614685,SSS,176766069,140645420,30.0174,0,/home/maccamp/barra-lh/data/bams/616690.sort.flt.bam,0,SSS,Burdekin,NA
616691,SFLc0638,614686,SSS,138770820,114489356,24.4912,0,/home/maccamp/barra-lh/data/bams/616691.sort.flt.bam,0,SSS,Burdekin,NA
616692,SFLc0642,614687,SSS,152733198,124331711,26.5604,0,/home/maccamp/barra-lh/data/bams/616692.sort.flt.bam,0,SSS,Burdekin,NA
616693,SFLc0650,614688,SSS,159201654,130047564,27.757,0,/home/maccamp/barra-lh/data/bams/616693.sort.flt.bam,0,SSS,Burdekin,NA
616694,SFLc0651,614689,SSS,175601326,139999834,30.0273,0,/home/maccamp/barra-lh/data/bams/616694.sort.flt.bam,0,SSS,Burdekin,NA
616695,SFLc0680,614690,SFF,179271601,138230944,29.2898,1,/home/maccamp/barra-lh/data/bams/616695.sort.flt.bam,1,SFF,Burdekin,NA
616696,SFLc0683,614691,SSS,151146674,124938651,26.6047,0,/home/maccamp/barra-lh/data/bams/616696.sort.flt.bam,0,SSS,Burdekin,NA
616697,SFLc0714,614692,SFF,149586452,120921186,25.7798,1,/home/maccamp/barra-lh/data/bams/616697.sort.flt.bam,1,SFF,Burdekin,NA
616698,SFLc0724,614693,SFF,179928539,144570830,30.7909,1,/home/maccamp/barra-lh/data/bams/616698.sort.flt.bam,1,SFF,Burdekin,NA
616699,SFLc1460,614694,SFF,189140351,152380228,32.7499,1,/home/maccamp/barra-lh/data/bams/616699.sort.flt.bam,1,SFF,Burdekin,NA
NA,Fitz01,NA,UNK,214727062,197376262,43.1526,NA,/home/maccamp/lates-wgs/data/fitzroy/Fitz01.sort.flt.bam,NA,UNK,FitzroyQLD,Fitz01
NA,Fitz02,NA,UNK,210632957,193219087,42.2969,NA,/home/maccamp/lates-wgs/data/fitzroy/Fitz02.sort.flt.bam,NA,UNK,FitzroyQLD,Fitz02
NA,Fitz03,NA,UNK,184729485,170882159,37.2926,NA,/home/maccamp/lates-wgs/data/fitzroy/Fitz03.sort.flt.bam,NA,UNK,FitzroyQLD,Fitz03
NA,Fitz04,NA,UNK,171859885,159473337,34.8281,NA,/home/maccamp/lates-wgs/data/fitzroy/Fitz04.sort.flt.bam,NA,UNK,FitzroyQLD,Fitz04
NA,Fitz05,NA,UNK,207408151,190022508,41.5087,NA,/home/maccamp/lates-wgs/data/fitzroy/Fitz05.sort.flt.bam,NA,UNK,FitzroyQLD,Fitz05
NA,Fitz06,NA,UNK,190952857,175877495,38.4533,NA,/home/maccamp/lates-wgs/data/fitzroy/Fitz06.sort.flt.bam,NA,UNK,FitzroyQLD,Fitz06
NA,Fitz07,NA,UNK,201784406,184807354,40.44,NA,/home/maccamp/lates-wgs/data/fitzroy/Fitz07.sort.flt.bam,NA,UNK,FitzroyQLD,Fitz07
NA,Fitz08,NA,UNK,218928717,201067584,43.9234,NA,/home/maccamp/lates-wgs/data/fitzroy/Fitz08.sort.flt.bam,NA,UNK,FitzroyQLD,Fitz08
